1;Bakerloo;9;20190101;Molly Rodiguez;22861.6;22
2;Bakerloo;10;20190101;Shirely Engel;22861.6;6
4;Central;105;20190101;Justine Doubleday;70841.2;40
6;Central;106;20190101;Bruna Pogue;70841.2;24
7;Central;107;20190101;Sheilah Cimmino;70841.2;8
9;Central;108;20190101;Edythe Defrancisco;70841.2;42
12;Central;109;20190101;Dina Perdomo;70841.2;26
14;Central;110;20190101;Evelina Provost;70841.2;10
17;Hammersmith_and_City;309;20190101;Mable Songer;20924.9;15
19;Hammersmith_and_City;310;20190101;Truman Coursey;20924.9;49
20;Jubilee;409;20190101;Brynn Shouse;33692.1;33
22;Jubilee;410;20190101;Dayna Freed;33692.1;17
25;Metropolitan;503;20190101;Ayesha Mcgee;90856.4;1
27;Metropolitan;504;20190101;Milly Teston;90856.4;35
30;Metropolitan;505;20190101;Hulda Tharrington;90856.4;19
32;Metropolitan;506;20190101;Hyo Krier;90856.4;3
33;Metropolitan;507;20190101;Trinidad Yokoyama;90856.4;37
35;Metropolitan;508;20190101;Mercy Feth;90856.4;21
37;Metropolitan;509;20190101;Kacey Brewton;90856.4;5
38;Metropolitan;510;20190101;Brock Trevino;90856.4;10
40;Northen;605;20190101;Ramiro Yandell;60918.9;44
43;Northen;606;20190101;Yuko Etter;60918.9;28
45;Northen;607;20190101;Brant Logsdon;60918.9;12
48;Northen;608;20190101;Israel Nunemaker;60918.9;46
50;Northen;609;20190101;Misty Mcneese;60918.9;30
51;Northen;610;20190101;Raymond Gahagan;60918.9;14
53;Picadilly;705;20190101;Temeka Scola;65262.3;19
56;Picadilly;706;20190101;Kip Sagucio;65262.3;3
58;Picadilly;707;20190101;Lorina Willaims;65262.3;37
61;Picadilly;708;20190101;Hoyt Silvers;65262.3;21
63;Picadilly;709;20190101;Hang Benefiel;65262.3;5
66;Picadilly;710;20190101;Clementina Goad;65262.3;39
68;District;905;20190101;Felix Dubrey;65368.3;23
69;District;906;20190101;Daisy Parsley;65368.3;7
71;District;907;20190101;Garfield Laverty;65368.3;41
74;District;908;20190101;Corliss Smyre;65368.3;25
76;District;909;20190101;Kimberlie Ouzts;65368.3;30
79;District;910;20190101;Anneliese Haman;65368.3;43
2;Bakerloo;9;20190102;Evelina Provost;22861.6;12
3;Bakerloo;10;20190102;;22861.6;25
5;Bakerloo;11;20190102;;22861.6;9
6;Bakerloo;12;20190102;Tien Giel;22861.6;43
7;Central;105;20190102;Pearlene Folger;70841.2;48
